"","Time (s)","Car 1 Position (m)","Car 2 Position (m)","Car 1 Velocity (m/s)","Car 2 Velocity (m/s)"
"1",0,0,1.9,0.3,-0.2
"2",0.1,0.03,1.88,0.3,-0.2
"3",0.2,0.06,1.86,0.3,-0.2
"4",0.3,0.09,1.84,0.3,-0.2
"5",0.4,0.12,1.82,0.3,-0.2
"6",0.5,0.15,1.8,0.3,-0.2
"7",0.6,0.18,1.78,0.3,-0.2
"8",0.7,0.21,1.76,0.3,-0.2
"9",0.8,0.24,1.74,0.3,-0.2
"10",0.9,0.27,1.72,0.3,-0.2
"11",1,0.3,1.7,0.3,-0.2
"12",1.1,0.33,1.68,0.3,-0.2
"13",1.2,0.36,1.66,0.3,-0.2
"14",1.3,0.39,1.64,0.3,-0.2
"15",1.4,0.42,1.62,0.3,-0.2
"16",1.5,0.45,1.6,0.3,-0.2
"17",1.6,0.48,1.58,0.3,-0.2
"18",1.7,0.51,1.56,0.3,-0.2
"19",1.8,0.54,1.54,0.3,-0.2
"20",1.9,0.57,1.52,0.3,-0.2
"21",2,0.6,1.5,0.3,-0.2
"22",2.1,0.63,1.48,0.3,-0.2
"23",2.2,0.66,1.46,0.3,-0.2
"24",2.3,0.69,1.44,0.3,-0.2
"25",2.4,0.72,1.42,0.3,-0.2
"26",2.5,0.75,1.4,0.3,-0.2
"27",2.6,0.78,1.38,0.3,-0.2
"28",2.7,0.81,1.36,0.3,-0.2
"29",2.8,0.84,1.34,0.3,-0.2
"30",2.9,0.87,1.32,0.3,-0.2
"31",3,0.9,1.3,0.3,-0.2
"32",3.1,0.93,1.28,0.3,-0.2
"33",3.2,0.96,1.26,0.3,-0.2
"34",3.3,0.99,1.24,0.3,-0.2
"35",3.4,1.02,1.22,0.3,-0.2
"36",3.5,1.05,1.2,0.3,-0.2
"37",3.6,1.08,1.18,0.3,-0.2
"38",3.7,1.11,1.16,0.3,-0.2
"39",3.8,1.14,1.14,0.3,-0.2
"40",3.9,1.14,1.19,0.1,0.1
"41",4,1.15,1.2,0.1,0.1
"42",4.1,1.16,1.21,0.1,0.1
"43",4.2,1.17,1.22,0.1,0.1
"44",4.3,1.18,1.23,0.1,0.1
"45",4.4,1.19,1.24,0.1,0.1
"46",4.5,1.2,1.25,0.1,0.1
"47",4.6,1.21,1.26,0.1,0.1
"48",4.7,1.22,1.27,0.1,0.1
"49",4.8,1.23,1.28,0.1,0.1
"50",4.9,1.24,1.29,0.1,0.1
"51",5,1.25,1.3,0.1,0.1
"52",5.1,1.26,1.31,0.1,0.1
"53",5.2,1.27,1.32,0.1,0.1
"54",5.3,1.28,1.33,0.1,0.1
"55",5.4,1.29,1.34,0.1,0.1
"56",5.5,1.3,1.35,0.1,0.1
"57",5.6,1.31,1.36,0.1,0.1
"58",5.7,1.32,1.37,0.1,0.1
"59",5.8,1.33,1.38,0.1,0.1
"60",5.9,1.34,1.39,0.1,0.1
"61",6,1.35,1.4,0.1,0.1
"62",6.1,1.36,1.41,0.1,0.1
"63",6.2,1.37,1.42,0.1,0.1
"64",6.3,1.38,1.43,0.1,0.1
"65",6.4,1.39,1.44,0.1,0.1
"66",6.5,1.4,1.45,0.1,0.1
"67",6.6,1.41,1.46,0.1,0.1
"68",6.7,1.42,1.47,0.1,0.1
"69",6.8,1.43,1.48,0.1,0.1
"70",6.9,1.44,1.49,0.1,0.1
"71",7,1.45,1.5,0.1,0.1
"72",7.1,1.46,1.51,0.1,0.1
"73",7.2,1.47,1.52,0.1,0.1
"74",7.3,1.48,1.53,0.1,0.1
"75",7.4,1.49,1.54,0.1,0.1
"76",7.5,1.5,1.55,0.1,0.1
"77",7.6,1.51,1.56,0.1,0.1
"78",7.7,1.52,1.57,0.1,0.1
"79",7.8,1.53,1.58,0.1,0.1
"80",7.9,1.54,1.59,0.1,0.1
"81",8,1.55,1.6,0.1,0.1
"82",8.1,1.56,1.61,0.1,0.1
"83",8.2,1.57,1.62,0.1,0.1
"84",8.3,1.58,1.63,0.1,0.1
"85",8.4,1.59,1.64,0.1,0.1
"86",8.5,1.6,1.65,0.1,0.1
"87",8.6,1.61,1.66,0.1,0.1
"88",8.7,1.62,1.67,0.1,0.1
"89",8.8,1.63,1.68,0.1,0.1
"90",8.9,1.64,1.69,0.1,0.1
"91",9,1.65,1.7,0.1,0.1
"92",9.1,1.66,1.71,0.1,0.1
"93",9.2,1.67,1.72,0.1,0.1
"94",9.3,1.68,1.73,0.1,0.1
"95",9.4,1.69,1.74,0.1,0.1
"96",9.5,1.7,1.75,0.1,0.1
"97",9.6,1.71,1.76,0.1,0.1
"98",9.7,1.72,1.77,0.1,0.1
"99",9.8,1.73,1.78,0.1,0.1
"100",9.9,1.74,1.79,0.1,0.1
"101",10,1.75,1.8,0.1,0.1
